Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,,,iTextSharp 5.5.13.4,,,,,"iTextSharp, 5.5.13.4  Recommendation:  iTextSharp, 5.5.13.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,,,Microsoft.EntityFrameworkCore 6.0.1,,,,,"Microsoft.EntityFrameworkCore, 6.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.1,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.5"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,,,Microsoft.NETCore.Platforms 6.0.1,,,,,"Microsoft.NETCore.Platforms, 6.0.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,,,PdfiumViewer 2.13.0,,,,,"PdfiumViewer, 2.13.0  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\Authorization\Accounts\AccountAppService.cs,164,16,T:System.Net.Http.HttpContent,,,,,"response.Content.Headers.ContentType = new MediaTypeHeaderValue(""application/pdf"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\Authorization\Accounts\AccountAppService.cs,159,16,T:System.Net.Http.HttpContent,,,,,"response.Content.Headers.ContentDisposition =                                  new ContentDispositionHeaderValue(""attachment"")                                  {                                      FileName = Path.GetFileName(fStream.Name)                                  };"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\CHIETAMIS.Application\CHIETAMIS.Application.csproj,File,src\CHIETAMIS.Application\Authorization\Accounts\AccountAppService.cs,154,16,T:System.Net.Http.HttpContent,,,,,"response = new HttpResponseMessage                  {                      StatusCode = HttpStatusCode.OK,                      Content = new StreamContent(fStream)                  };"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CHIETAMIS.Core\CHIETAMIS.Core.csproj,File,src\CHIETAMIS.Core\CHIETAMIS.Core.csproj,,,Microsoft.EntityFrameworkCore 6.0.1,,,,,"Microsoft.EntityFrameworkCore, 6.0.1  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.5"
